2025-12-06 20:36:56 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2057
2025-12-06 20:36:58 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2057
2025-12-06 20:36:59 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:36:59 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2057
2025-12-06 20:37:01 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2057
2025-12-06 20:37:02 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2057
2025-12-06 20:37:04 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2057
2025-12-06 20:37:04 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:37:05 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2057
2025-12-06 20:37:07 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2057
2025-12-06 20:37:08 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2057
2025-12-06 20:37:08 | INFO     | django.server | "HEAD /api/dashboard/ HTTP/1.1" 200 0
2025-12-06 20:37:09 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:37:10 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2057
2025-12-06 20:37:11 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2057
2025-12-06 20:37:13 | INFO     | django.server | "GET /api/network/ HTTP/1.1" 200 8380
2025-12-06 20:37:13 | INFO     | django.server | "GET /static/js/network.js HTTP/1.1" 304 0
2025-12-06 20:37:14 | WARNING  | django.request | Not Found: /api/network-data/
2025-12-06 20:37:14 | WARNING  | django.server | "GET /api/network-data/ HTTP/1.1" 404 6643
2025-12-06 20:37:14 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:37:15 | INFO     | django.server | "GET /api/network/ HTTP/1.1" 200 8380
2025-12-06 20:37:17 | WARNING  | django.request | Not Found: /api/network-data/
2025-12-06 20:37:17 | WARNING  | django.server | "GET /api/network-data/ HTTP/1.1" 404 6643
2025-12-06 20:37:18 | WARNING  | django.request | Not Found: /api/network-data/
2025-12-06 20:37:18 | WARNING  | django.server | "GET /api/network-data/ HTTP/1.1" 404 6643
2025-12-06 20:37:19 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:37:20 | WARNING  | django.request | Not Found: /api/network-data/
2025-12-06 20:37:20 | WARNING  | django.server | "GET /api/network-data/ HTTP/1.1" 404 6643
2025-12-06 20:37:21 | WARNING  | django.request | Not Found: /api/network-data/
2025-12-06 20:37:21 | WARNING  | django.server | "GET /api/network-data/ HTTP/1.1" 404 6643
2025-12-06 20:37:23 | WARNING  | django.request | Not Found: /api/network-data/
2025-12-06 20:37:23 | WARNING  | django.server | "GET /api/network-data/ HTTP/1.1" 404 6643
2025-12-06 20:37:24 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:37:24 | WARNING  | django.request | Not Found: /api/network-data/
2025-12-06 20:37:24 | WARNING  | django.server | "GET /api/network-data/ HTTP/1.1" 404 6643
2025-12-06 20:37:26 | WARNING  | django.request | Not Found: /api/network-data/
2025-12-06 20:37:26 | WARNING  | django.server | "GET /api/network-data/ HTTP/1.1" 404 6643
2025-12-06 20:37:27 | WARNING  | django.request | Not Found: /api/network-data/
2025-12-06 20:37:27 | WARNING  | django.server | "GET /api/network-data/ HTTP/1.1" 404 6643
2025-12-06 20:37:29 | WARNING  | django.request | Not Found: /api/network-data/
2025-12-06 20:37:29 | WARNING  | django.server | "GET /api/network-data/ HTTP/1.1" 404 6643
2025-12-06 20:37:29 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:37:30 | WARNING  | django.request | Not Found: /api/network-data/
2025-12-06 20:37:30 | WARNING  | django.server | "GET /api/network-data/ HTTP/1.1" 404 6643
2025-12-06 20:37:32 | WARNING  | django.request | Not Found: /api/network-data/
